method,policy,scope,fold,threshold,sample_count,positive_count,background_count,false_alarm_count,pfa,score_detection_count,score_recall,correct_detection_count,joint_pd,binary_tp,binary_fn,binary_fp,binary_tn,binary_accuracy,binary_precision,binary_recall,binary_f1,roc_auc,all_positive_range_mae_gates,all_positive_velocity_mae_bins,detected_positive_range_mae_gates,detected_positive_velocity_mae_bins,correct_positive_range_mae_gates,correct_positive_velocity_mae_bins,range_tolerance_gates,velocity_tolerance_bins
bc_v2,two_per_fold,per_fold_test,3,0.8036319017410278,167,52,115,0,0.0,50,0.9615384615384616,48,0.9230769230769231,50,2,0,115,0.9880239520958084,1.0,0.9615384615384616,0.9803921568627451,1.0,1.0576923076923077,1.4230769230769231,0.68,0.6,0.5416666666666666,0.5208333333333334,2,3
bc_v2,two_per_fold,per_fold_test,4,0.8036319017410278,202,52,150,1,0.006666666666666667,36,0.6923076923076923,36,0.6923076923076923,36,16,1,149,0.9158415841584159,0.972972972972973,0.6923076923076923,0.8089887640449438,0.9733333333333334,2.673076923076923,1.9423076923076923,0.6944444444444444,0.2777777777777778,0.6944444444444444,0.2777777777777778,2,3
bc_v2,two_per_fold,per_fold_test,5,0.8036319017410278,210,60,150,0,0.0,56,0.9333333333333333,55,0.9166666666666666,56,4,0,150,0.9809523809523809,1.0,0.9333333333333333,0.9655172413793104,0.9997777777777778,1.0333333333333334,0.7333333333333333,0.75,0.25,0.7090909090909091,0.23636363636363636,2,3
bc_v2,two_per_fold,per_fold_test,6,0.8036319017410278,163,48,115,0,0.0,43,0.8958333333333334,41,0.8541666666666666,43,5,0,115,0.9693251533742331,1.0,0.8958333333333334,0.945054945054945,0.998731884057971,2.3125,1.2291666666666667,1.627906976744186,0.6744186046511628,0.7073170731707317,0.4146341463414634,2,3
raw,pfa05,combined_test,all,0.6035230159759521,1148,318,830,64,0.07710843373493977,308,0.9685534591194969,296,0.9308176100628931,308,10,64,766,0.9355400696864111,0.8279569892473119,0.9685534591194969,0.8927536231884059,0.9888402667272865,1.4182389937106918,1.1540880503144655,0.948051948051948,0.7272727272727273,0.625,0.34797297297297297,2,3
raw,pfa05,per_fold_test,1,0.6035230159759521,203,53,150,39,0.26,53,1.0,53,1.0,53,0,39,111,0.8078817733990148,0.5760869565217391,1.0,0.7310344827586206,0.9822641509433963,0.4528301886792453,0.32075471698113206,0.4528301886792453,0.32075471698113206,0.4528301886792453,0.32075471698113206,2,3
raw,pfa05,per_fold_test,2,0.6035230159759521,203,53,150,0,0.0,53,1.0,49,0.9245283018867925,53,0,0,150,1.0,1.0,1.0,1.0,1.0,1.1320754716981132,1.3584905660377358,1.1320754716981132,1.3584905660377358,0.5918367346938775,0.2653061224489796,2,3
raw,pfa05,per_fold_test,3,0.6035230159759521,167,52,115,0,0.0,52,1.0,48,0.9230769230769231,52,0,0,115,1.0,1.0,1.0,1.0,1.0,1.0576923076923077,1.4230769230769231,1.0576923076923077,1.4230769230769231,0.5416666666666666,0.5208333333333334,2,3
raw,pfa05,per_fold_test,4,0.6035230159759521,202,52,150,25,0.16666666666666666,48,0.9230769230769231,47,0.9038461538461539,48,4,25,125,0.8564356435643564,0.6575342465753424,0.9230769230769231,0.768,0.9661538461538461,2.673076923076923,1.9423076923076923,0.7708333333333334,0.2708333333333333,0.723404255319149,0.2765957446808511,2,3
raw,pfa05,per_fold_test,5,0.6035230159759521,210,60,150,0,0.0,57,0.95,56,0.9333333333333333,57,3,0,150,0.9857142857142858,1.0,0.95,0.9743589743589743,0.9997777777777778,1.0333333333333334,0.7333333333333333,0.7719298245614035,0.2631578947368421,0.7321428571428571,0.25,2,3
raw,pfa05,per_fold_test,6,0.6035230159759521,163,48,115,0,0.0,45,0.9375,43,0.8958333333333334,45,3,0,115,0.9815950920245399,1.0,0.9375,0.967741935483871,0.998731884057971,2.3125,1.2291666666666667,1.6,0.7333333333333333,0.7209302325581395,0.4883720930232558,2,3
bc_v2,pfa05,combined_test,all,0.6032900810241699,1148,318,830,16,0.01927710843373494,302,0.949685534591195,292,0.9182389937106918,302,16,16,814,0.9721254355400697,0.949685534591195,0.949685534591195,0.949685534591195,0.9943623550807001,1.4182389937106918,1.1540880503144655,0.9337748344370861,0.7251655629139073,0.613013698630137,0.3493150684931507,2,3
bc_v2,pfa05,per_fold_test,1,0.6032900810241699,203,53,150,14,0.09333333333333334,51,0.9622641509433962,51,0.9622641509433962,51,2,14,136,0.9211822660098522,0.7846153846153846,0.9622641509433962,0.864406779661017,0.9867924528301887,0.4528301886792453,0.32075471698113206,0.4117647058823529,0.3137254901960784,0.4117647058823529,0.3137254901960784,2,3
bc_v2,pfa05,per_fold_test,2,0.6032900810241699,203,53,150,0,0.0,52,0.9811320754716981,49,0.9245283018867925,52,1,0,150,0.9950738916256158,1.0,0.9811320754716981,0.9904761904761905,1.0,1.1320754716981132,1.3584905660377358,1.1346153846153846,1.3076923076923077,0.5918367346938775,0.2653061224489796,2,3
bc_v2,pfa05,per_fold_test,3,0.6032900810241699,167,52,115,0,0.0,52,1.0,48,0.9230769230769231,52,0,0,115,1.0,1.0,1.0,1.0,1.0,1.0576923076923077,1.4230769230769231,1.0576923076923077,1.4230769230769231,0.5416666666666666,0.5208333333333334,2,3
bc_v2,pfa05,per_fold_test,4,0.6032900810241699,202,52,150,2,0.013333333333333334,45,0.8653846153846154,45,0.8653846153846154,45,7,2,148,0.9554455445544554,0.9574468085106383,0.8653846153846154,0.9090909090909091,0.9733333333333334,2.673076923076923,1.9423076923076923,0.6888888888888889,0.28888888888888886,0.6888888888888889,0.28888888888888886,2,3
bc_v2,pfa05,per_fold_test,5,0.6032900810241699,210,60,150,0,0.0,57,0.95,56,0.9333333333333333,57,3,0,150,0.9857142857142858,1.0,0.95,0.9743589743589743,0.9997777777777778,1.0333333333333334,0.7333333333333333,0.7719298245614035,0.2631578947368421,0.7321428571428571,0.25,2,3
bc_v2,pfa05,per_fold_test,6,0.6032900810241699,163,48,115,0,0.0,45,0.9375,43,0.8958333333333334,45,3,0,115,0.9815950920245399,1.0,0.9375,0.967741935483871,0.998731884057971,2.3125,1.2291666666666667,1.6,0.7333333333333333,0.7209302325581395,0.4883720930232558,2,3
