fold,mode,split,class,count,mean,std,q00,q01,q05,q25,q50,q75,q95,q99,q100
1,ri8_gated,validation,target,53,0.8283553213443396,0.1735735332056935,0.2216796875,0.29810546875,0.443603515625,0.7978515625,0.89892578125,0.94287109375,0.962109375,0.9765625,0.9892578125
4,power2,test,background,150,0.6059480794270833,0.202440078417757,0.11181640625,0.143704833984375,0.27933349609375,0.44915771484375,0.626220703125,0.786376953125,0.88720703125,0.9334521484375,0.95849609375
4,power2,test,target,52,0.8831881009615384,0.1398049798059943,0.41748046875,0.4224609375,0.60712890625,0.8077392578125,0.95703125,0.971923828125,0.982763671875,0.98533203125,0.986328125
4,power2,validation,background,150,0.0438984171549479,0.0280073997156268,0.0245208740234375,0.0253471374511718,0.0264999389648437,0.0302886962890625,0.035888671875,0.04400634765625,0.0894409179687499,0.1630322265624996,0.2313232421875
4,power2,validation,target,60,0.897833251953125,0.132178362358827,0.1844482421875,0.379266357421875,0.6654296875,0.8956298828125,0.940673828125,0.9677734375,0.9775634765625,0.9787158203125,0.97900390625
4,ri4,test,background,150,0.4464908854166666,0.2082625885629193,0.1190185546875,0.123828125,0.137982177734375,0.2823486328125,0.4361572265625,0.581787109375,0.7938232421875,0.9148095703124997,0.95849609375
4,ri4,test,target,52,0.8738074669471154,0.1688341334075395,0.25537109375,0.25873291015625,0.5399047851562501,0.85205078125,0.94873046875,0.9737548828125,0.9850341796875,0.99166015625,0.99365234375
4,ri4,validation,background,150,0.1492108154296875,0.1557722233358217,0.0179901123046875,0.0214309692382812,0.0284317016601562,0.0588607788085937,0.09197998046875,0.164276123046875,0.4917480468749999,0.7491796874999985,0.85693359375
4,ri4,validation,target,60,0.8594319661458333,0.1398831996766188,0.358154296875,0.4062646484375,0.6234375,0.76171875,0.92431640625,0.9537353515625,0.9795654296875,0.985751953125,0.986328125
4,polar6_gated,test,background,150,0.5908382161458333,0.1850682589469317,0.1177978515625,0.156158447265625,0.2644775390625,0.46221923828125,0.61669921875,0.7503662109375,0.8581787109375,0.8740917968749999,0.87890625
4,polar6_gated,test,target,52,0.7597891000600961,0.1451375008488153,0.381103515625,0.40388916015625,0.44912109375,0.67578125,0.813232421875,0.864990234375,0.9126708984375,0.9248681640625,0.93408203125
4,polar6_gated,validation,background,150,0.1401926676432291,0.1538067718445049,0.0218658447265625,0.0260066223144531,0.031964111328125,0.0478286743164062,0.079986572265625,0.147796630859375,0.5077392578124996,0.6775732421874999,0.697265625
4,polar6_gated,validation,target,60,0.8052815755208333,0.113478314810592,0.36279296875,0.43294189453125,0.5674926757812501,0.7703857421875,0.84375,0.8861083984375,0.90771484375,0.9286083984375,0.93408203125
4,ri8_gated,test,background,150,0.5149593098958334,0.2433366419292896,0.08978271484375,0.111905517578125,0.157525634765625,0.31243896484375,0.4954833984375,0.7344970703125,0.88896484375,0.9544677734375,0.9619140625
4,ri8_gated,test,target,52,0.82220458984375,0.1900196958854064,0.3037109375,0.3119287109375,0.36510009765625,0.8165283203125,0.91162109375,0.930908203125,0.975048828125,0.977978515625,0.98046875
4,ri8_gated,validation,background,150,0.1275716145833333,0.1319914763388407,0.0321044921875,0.03759521484375,0.0439727783203125,0.0528488159179687,0.072357177734375,0.144989013671875,0.4585693359374995,0.6307666015624994,0.708984375
4,ri8_gated,validation,target,60,0.8697957356770833,0.1230539349476642,0.447021484375,0.48173583984375,0.5349365234375,0.8643798828125,0.918212890625,0.9556884765625,0.970751953125,0.97248046875,0.9736328125
