group_type,group_value,channel,sample_count,range_signed_mean,range_signed_median,range_signed_mode,range_signed_std,range_mae,range_rmse,range_within_0_rate,range_within_1_rate,range_within_2_rate,range_within_3_rate,velocity_signed_mean,velocity_signed_median,velocity_signed_mode,velocity_signed_std,velocity_mae,velocity_rmse,velocity_within_0_rate,velocity_within_1_rate,velocity_within_2_rate,velocity_within_3_rate
session_id,20260202_145126,H,5,-0.4,0.0,1.0,1.4966629547095764,1.2,1.5491933384829668,0.2,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145126,V,5,1.0,2.0,3.0,2.280350850198276,2.2,2.4899799195977463,0.2,0.2,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145135,H,5,-2.8,-4.0,-5.0,2.4,3.2,3.687817782917155,0.0,0.4,0.4,0.4,-0.2,0.0,0.0,0.4,0.2,0.4472135954999579,0.8,1.0,1.0,1.0
session_id,20260202_145135,V,5,-3.2,-5.0,-5.0,3.124099870362662,4.4,4.47213595499958,0.0,0.0,0.0,0.2,-0.2,0.0,0.0,0.4,0.2,0.4472135954999579,0.8,1.0,1.0,1.0
session_id,20260202_145143,H,5,2.6,4.0,5.0,3.0066592756745814,3.8,3.9749213828703582,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145143,V,5,4.6,5.0,5.0,0.4898979485566356,4.6,4.626013402488151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145151,H,5,1.4,2.0,2.0,0.8,1.4,1.61245154965971,0.2,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145151,V,5,-0.8,-1.0,-2.0,1.4696938456699067,1.6,1.6733200530681511,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145208,H,4,3.5,4.0,4.0,0.8660254037844386,3.5,3.605551275463989,0.0,0.0,0.25,0.25,-0.25,0.0,0.0,0.4330127018922193,0.25,0.5,0.75,1.0,1.0,1.0
session_id,20260202_145208,V,4,-4.0,-4.0,-4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.4330127018922193,0.25,0.5,0.75,1.0,1.0,1.0
session_id,20260202_145216,H,5,0.4,2.0,-4.0,3.6660605559646724,3.6,3.687817782917155,0.0,0.0,0.2,0.2,-0.6,-1.0,-1.0,0.48989794855663565,0.6,0.7745966692414834,0.4,1.0,1.0,1.0
session_id,20260202_145216,V,5,-3.4,-4.0,-4.0,1.2,3.4,3.605551275463989,0.0,0.2,0.2,0.2,-0.6,-1.0,-1.0,0.48989794855663565,0.6,0.7745966692414834,0.4,1.0,1.0,1.0
session_id,20260202_145713,H,4,1.5,1.5,1.0,0.5,1.5,1.5811388300841898,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145713,V,4,-1.5,-1.0,0.0,1.6583123951777,1.5,2.23606797749979,0.5,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145722,H,4,1.75,2.0,2.0,0.4330127018922193,1.75,1.8027756377319946,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145722,V,4,-2.75,-4.0,-4.0,2.7726341266023544,3.75,3.905124837953327,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
session_id,20260202_145730,H,5,4.0,5.0,5.0,1.5491933384829668,4.0,4.2895221179054435,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
