fold,mode,split,source_file,class_label,count,score_mean,score_q50,score_q95,score_max,fraction_above_threshold
1,ri4,val,20260202_144556,target,3,0.9485677083333334,0.97216796875,0.984912109375,0.986328125,1.0
1,ri4,val,20260202_144604,target,4,0.939208984375,0.939697265625,0.98505859375,0.98974609375,1.0
1,ri4,val,20260202_144613,target,4,0.9410400390625,0.947998046875,0.9606689453125,0.9619140625,1.0
1,ri4,val,20260202_144629,target,4,0.8076171875,0.84814453125,0.8854248046875,0.890625,0.75
1,ri4,val,20260204_100802,background,150,0.24409525553385417,0.16925048828125,0.6947021484374997,0.8193359375,0.02
1,ri4,test,20260202_144238,target,4,0.40814208984375,0.3128662109375,0.6806152343749998,0.74169921875,0.0
1,ri4,test,20260202_144246,target,5,0.5958984375,0.59326171875,0.6732421875,0.68505859375,0.0
1,ri4,test,20260202_144254,target,4,0.6519775390625,0.62939453125,0.879443359375,0.9033203125,0.25
1,ri4,test,20260202_144302,target,5,0.71953125,0.62451171875,0.941015625,0.96240234375,0.4
1,ri4,test,20260202_144311,target,5,0.84169921875,0.94287109375,0.9712890625,0.9755859375,0.8
1,ri4,test,20260202_144319,target,5,0.86064453125,0.912109375,0.9689453125,0.9736328125,0.8
1,ri4,test,20260202_144327,target,5,0.890234375,0.93359375,0.96328125,0.96826171875,0.8
1,ri4,test,20260202_144335,target,5,0.94560546875,0.9521484375,0.97568359375,0.9814453125,1.0
1,ri4,test,20260202_144344,target,5,0.9802734375,0.98193359375,0.98720703125,0.98779296875,1.0
1,ri4,test,20260202_144352,target,5,0.8712890625,0.8740234375,0.95712890625,0.9609375,0.8
1,ri4,test,20260202_144417,target,5,0.92216796875,0.955078125,0.9859375,0.990234375,0.8
1,ri4,test,20260204_100739,background,150,0.5270664469401042,0.543701171875,0.891162109375,0.9521484375,0.14666666666666667
1,polar6,val,20260202_144425,target,5,0.86455078125,0.89697265625,0.91796875,0.9208984375,1.0
1,polar6,val,20260202_144433,target,5,0.90107421875,0.9013671875,0.93095703125,0.93212890625,1.0
1,polar6,val,20260202_144458,target,5,0.92724609375,0.9375,0.94501953125,0.9462890625,1.0
1,polar6,val,20260202_144506,target,5,0.798046875,0.8076171875,0.85478515625,0.8642578125,1.0
1,polar6,val,20260202_144515,target,5,0.9109375,0.92626953125,0.93251953125,0.93359375,1.0
1,polar6,val,20260202_144523,target,5,0.87763671875,0.86669921875,0.91943359375,0.92138671875,1.0
1,polar6,val,20260202_144539,target,4,0.7677001953125,0.82861328125,0.8671630859375,0.869140625,1.0
1,polar6,val,20260202_144548,target,4,0.9005126953125,0.904052734375,0.9186279296875,0.91943359375,1.0
1,polar6,val,20260202_144556,target,3,0.921875,0.9296875,0.940673828125,0.94189453125,1.0
1,polar6,val,20260202_144604,target,4,0.8323974609375,0.843017578125,0.892919921875,0.89453125,1.0
1,polar6,val,20260202_144613,target,4,0.8912353515625,0.896728515625,0.915966796875,0.91845703125,1.0
1,polar6,val,20260202_144629,target,4,0.56201171875,0.5565185546875,0.6757080078125,0.68310546875,1.0
1,polar6,val,20260204_100802,background,150,0.02474156697591146,0.02249908447265625,0.04036254882812497,0.0872802734375,0.02
1,polar6,test,20260202_144238,target,4,0.7310791015625,0.728515625,0.8057861328125,0.8193359375,1.0
1,polar6,test,20260202_144246,target,5,0.74208984375,0.80126953125,0.8337890625,0.83740234375,1.0
1,polar6,test,20260202_144254,target,4,0.6893310546875,0.684326171875,0.8056396484374999,0.82373046875,1.0
1,polar6,test,20260202_144302,target,5,0.74150390625,0.81494140625,0.86630859375,0.87841796875,1.0
1,polar6,test,20260202_144311,target,5,0.72158203125,0.69287109375,0.8392578125,0.8408203125,1.0
1,polar6,test,20260202_144319,target,5,0.6974609375,0.71435546875,0.78310546875,0.78759765625,1.0
1,polar6,test,20260202_144327,target,5,0.77705078125,0.78662109375,0.86220703125,0.87255859375,1.0
1,polar6,test,20260202_144335,target,5,0.6783203125,0.67578125,0.75185546875,0.75830078125,1.0
1,polar6,test,20260202_144344,target,5,0.92431640625,0.94384765625,0.95205078125,0.95263671875,1.0
1,polar6,test,20260202_144352,target,5,0.89091796875,0.88916015625,0.94794921875,0.94873046875,1.0
1,polar6,test,20260202_144417,target,5,0.88017578125,0.92724609375,0.93779296875,0.93994140625,1.0
1,polar6,test,20260204_100739,background,150,0.502626953125,0.44140625,0.8791748046874999,0.9169921875,1.0
1,ri8,val,20260202_144425,target,5,0.90029296875,0.892578125,0.93037109375,0.9365234375,1.0
1,ri8,val,20260202_144433,target,5,0.884765625,0.8837890625,0.92431640625,0.93115234375,1.0
1,ri8,val,20260202_144458,target,5,0.8921875,0.89306640625,0.90126953125,0.90283203125,1.0
1,ri8,val,20260202_144506,target,5,0.8828125,0.880859375,0.90283203125,0.9052734375,1.0
1,ri8,val,20260202_144515,target,5,0.81650390625,0.82861328125,0.85859375,0.86328125,1.0
1,ri8,val,20260202_144523,target,5,0.88310546875,0.90087890625,0.91259765625,0.9140625,1.0
1,ri8,val,20260202_144539,target,4,0.81494140625,0.90380859375,0.916259765625,0.9169921875,1.0
1,ri8,val,20260202_144548,target,4,0.8878173828125,0.889404296875,0.89521484375,0.8955078125,1.0
1,ri8,val,20260202_144556,target,3,0.9054361979166666,0.90576171875,0.914111328125,0.9150390625,1.0
1,ri8,val,20260202_144604,target,4,0.9254150390625,0.930419921875,0.9342041015625,0.9345703125,1.0
1,ri8,val,20260202_144613,target,4,0.8924560546875,0.88671875,0.91044921875,0.91455078125,1.0
1,ri8,val,20260202_144629,target,4,0.7760009765625,0.800048828125,0.8384521484375,0.84130859375,1.0
1,ri8,val,20260204_100802,background,150,0.07593226114908855,0.06829833984375,0.13798828124999984,0.2607421875,0.02
1,ri8,test,20260202_144238,target,4,0.76513671875,0.7685546875,0.8780029296874999,0.8837890625,1.0
1,ri8,test,20260202_144246,target,5,0.82841796875,0.86474609375,0.90595703125,0.912109375,1.0
1,ri8,test,20260202_144254,target,4,0.8714599609375,0.874755859375,0.9033203125,0.9033203125,1.0
1,ri8,test,20260202_144302,target,5,0.88671875,0.8955078125,0.92275390625,0.92724609375,1.0
1,ri8,test,20260202_144311,target,5,0.83544921875,0.90185546875,0.90654296875,0.90771484375,1.0
1,ri8,test,20260202_144319,target,5,0.85595703125,0.8564453125,0.9185546875,0.921875,1.0
1,ri8,test,20260202_144327,target,5,0.81572265625,0.86962890625,0.91123046875,0.91357421875,1.0
1,ri8,test,20260202_144335,target,5,0.88515625,0.88623046875,0.91005859375,0.91455078125,1.0
1,ri8,test,20260202_144344,target,5,0.89609375,0.888671875,0.90849609375,0.90869140625,1.0
1,ri8,test,20260202_144352,target,5,0.9142578125,0.91357421875,0.92998046875,0.9326171875,1.0
1,ri8,test,20260202_144417,target,5,0.930859375,0.947265625,0.95107421875,0.951171875,1.0
1,ri8,test,20260204_100739,background,150,0.6551582845052083,0.68505859375,0.8962646484375,0.919921875,0.96
4,power2,val,20260202_145020,target,4,0.9559326171875,0.963134765625,0.97119140625,0.97119140625,1.0
4,power2,val,20260202_145028,target,3,0.68310546875,0.7177734375,0.806982421875,0.81689453125,1.0
4,power2,val,20260202_145037,target,3,0.9065755208333334,0.90087890625,0.928564453125,0.931640625,1.0
4,power2,val,20260202_145045,target,4,0.711517333984375,0.841796875,0.9650634765625,0.97802734375,1.0
4,power2,val,20260202_145053,target,4,0.909912109375,0.96337890625,0.9671875,0.9677734375,1.0
4,power2,val,20260202_145102,target,5,0.94169921875,0.9765625,0.9787109375,0.97900390625,1.0
4,power2,val,20260202_145110,target,4,0.9190673828125,0.9208984375,0.9361083984375,0.9375,1.0
4,power2,val,20260202_145118,target,4,0.95556640625,0.955322265625,0.97294921875,0.97412109375,1.0
4,power2,val,20260202_145126,target,5,0.8998046875,0.94189453125,0.9669921875,0.96923828125,1.0
4,power2,val,20260202_145135,target,5,0.96748046875,0.9677734375,0.9765625,0.978515625,1.0
4,power2,val,20260202_145143,target,5,0.9267578125,0.92529296875,0.962890625,0.96533203125,1.0
4,power2,val,20260202_145151,target,5,0.9599609375,0.970703125,0.97607421875,0.97607421875,1.0
4,power2,val,20260202_145208,target,4,0.9454345703125,0.947509765625,0.9620361328125,0.96240234375,1.0
4,power2,val,20260202_145216,target,5,0.80654296875,0.888671875,0.93720703125,0.939453125,1.0
4,power2,val,20260204_100908,background,150,0.04389841715494792,0.035888671875,0.08944091796874991,0.2313232421875,0.02
4,power2,test,20260202_144841,target,4,0.959716796875,0.9697265625,0.972509765625,0.97265625,1.0
4,power2,test,20260202_144849,target,4,0.6759033203125,0.734130859375,0.8013671875,0.80810546875,1.0
4,power2,test,20260202_144857,target,4,0.7392578125,0.769287109375,0.8164306640625,0.81884765625,1.0
4,power2,test,20260202_144906,target,4,0.8057861328125,0.923583984375,0.958349609375,0.95849609375,1.0
4,power2,test,20260202_144914,target,4,0.7059326171875,0.70703125,0.78935546875,0.79638671875,1.0
4,power2,test,20260202_144922,target,5,0.97587890625,0.98095703125,0.9837890625,0.984375,1.0
4,power2,test,20260202_144931,target,4,0.8916015625,0.949951171875,0.96650390625,0.96826171875,1.0
4,power2,test,20260202_144939,target,5,0.974609375,0.9736328125,0.98046875,0.98095703125,1.0
4,power2,test,20260202_144947,target,5,0.97041015625,0.97119140625,0.97890625,0.97900390625,1.0
4,power2,test,20260202_144955,target,5,0.97734375,0.97998046875,0.9859375,0.986328125,1.0
4,power2,test,20260202_145004,target,4,0.9114990234375,0.90869140625,0.92939453125,0.93115234375,1.0
4,power2,test,20260202_145012,target,4,0.9189453125,0.95166015625,0.963916015625,0.9658203125,1.0
4,power2,test,20260204_100845,background,150,0.6059480794270833,0.626220703125,0.88720703125,0.95849609375,0.9866666666666667
4,ri4,val,20260202_145020,target,4,0.909423828125,0.953369140625,0.972607421875,0.97509765625,1.0
4,ri4,val,20260202_145028,target,3,0.86474609375,0.9375,0.938818359375,0.93896484375,1.0
4,ri4,val,20260202_145037,target,3,0.8533528645833334,0.9189453125,0.946630859375,0.94970703125,1.0
4,ri4,val,20260202_145045,target,4,0.79888916015625,0.898193359375,0.950830078125,0.95947265625,0.75
4,ri4,val,20260202_145053,target,4,0.8787841796875,0.9453125,0.959619140625,0.9609375,0.75
4,ri4,val,20260202_145102,target,5,0.92587890625,0.96142578125,0.97626953125,0.9794921875,1.0
4,ri4,val,20260202_145110,target,4,0.948974609375,0.952392578125,0.9783935546875,0.98095703125,1.0
4,ri4,val,20260202_145118,target,4,0.8427734375,0.890380859375,0.91376953125,0.9169921875,1.0
4,ri4,val,20260202_145126,target,5,0.8384765625,0.93505859375,0.95966796875,0.96240234375,0.8
4,ri4,val,20260202_145135,target,5,0.86611328125,0.86962890625,0.9490234375,0.94921875,1.0
4,ri4,val,20260202_145143,target,5,0.84482421875,0.9189453125,0.93525390625,0.93701171875,1.0
4,ri4,val,20260202_145151,target,5,0.78203125,0.80126953125,0.93369140625,0.94140625,0.8
4,ri4,val,20260202_145208,target,4,0.9664306640625,0.9794921875,0.986181640625,0.986328125,1.0
4,ri4,val,20260202_145216,target,5,0.748779296875,0.84423828125,0.96962890625,0.9775390625,0.6
4,ri4,val,20260204_100908,background,150,0.1492108154296875,0.09197998046875,0.4917480468749999,0.85693359375,0.02
