fold,mode,split,class_label,count,threshold,fraction_above_threshold,min,q01,q05,q25,q50,q75,q95,q99,max,mean,std
1,polar6,test,background,150,0.044342041015625,1.0,0.1947021484375,0.22707763671875,0.246038818359375,0.32720947265625,0.44140625,0.6700439453125,0.8791748046874999,0.897470703125,0.9169921875,0.502626953125,0.20902849568032147
1,polar6,test,target,53,0.044342041015625,1.0,0.517578125,0.52138671875,0.57841796875,0.6787109375,0.78759765625,0.8583984375,0.94638671875,0.9511132812499999,0.95263671875,0.7726175560141509,0.12025884610500666
1,ri8,val,background,150,0.2137451171875,0.02,0.0142288208007812,0.018277435302734374,0.022815704345703125,0.04042816162109375,0.06829833984375,0.1027984619140625,0.13798828124999984,0.2357214355468746,0.2607421875,0.07593226114908855,0.044317000868467696
1,ri8,val,target,53,0.2137451171875,1.0,0.53515625,0.60142578125,0.77431640625,0.865234375,0.8896484375,0.90576171875,0.93154296875,0.9355078125,0.9365234375,0.8717202240566038,0.06698658819833737
1,ri8,test,background,150,0.2137451171875,0.96,0.12359619140625,0.137310791015625,0.258013916015625,0.5220947265625,0.68505859375,0.823486328125,0.8962646484375,0.917998046875,0.919921875,0.6551582845052083,0.19985807041131157
1,ri8,test,target,53,0.2137451171875,1.0,0.6396484375,0.6406640625,0.68466796875,0.85107421875,0.888671875,0.90771484375,0.9384765625,0.95091796875,0.951171875,0.8639537883254716,0.07619107939580347
4,power2,val,background,150,0.140869140625,0.02,0.0245208740234375,0.025347137451171876,0.02649993896484375,0.0302886962890625,0.035888671875,0.04400634765625,0.08944091796874991,0.1630322265624996,0.2313232421875,0.04389841715494792,0.028007399715626862
4,power2,val,target,60,0.140869140625,1.0,0.1844482421875,0.379266357421875,0.6654296875,0.8956298828125,0.940673828125,0.9677734375,0.9775634765625,0.9787158203125,0.97900390625,0.897833251953125,0.13217836235882705
4,power2,test,background,150,0.140869140625,0.9866666666666667,0.11181640625,0.143704833984375,0.27933349609375,0.44915771484375,0.626220703125,0.786376953125,0.88720703125,0.9334521484374999,0.95849609375,0.6059480794270833,0.20244007841775702
4,power2,test,target,52,0.140869140625,1.0,0.41748046875,0.4224609375,0.60712890625,0.8077392578125,0.95703125,0.971923828125,0.982763671875,0.98533203125,0.986328125,0.8831881009615384,0.13980497980599435
4,ri4,val,background,150,0.66650390625,0.02,0.0179901123046875,0.02143096923828125,0.02843170166015625,0.05886077880859375,0.09197998046875,0.164276123046875,0.4917480468749999,0.7491796874999985,0.85693359375,0.1492108154296875,0.15577222333582177
4,ri4,val,target,60,0.66650390625,0.9,0.358154296875,0.4062646484375,0.6234375,0.76171875,0.92431640625,0.9537353515625,0.9795654296875,0.985751953125,0.986328125,0.8594319661458333,0.13988319967661889
4,ri4,test,background,150,0.66650390625,0.14666666666666667,0.1190185546875,0.123828125,0.137982177734375,0.2823486328125,0.4361572265625,0.581787109375,0.7938232421875,0.9148095703124995,0.95849609375,0.44649088541666665,0.20826258856291932
4,ri4,test,target,52,0.66650390625,0.8846153846153846,0.25537109375,0.25873291015625,0.5399047851562501,0.85205078125,0.94873046875,0.9737548828125,0.9850341796875,0.99166015625,0.99365234375,0.8738074669471154,0.16883413340753953
4,polar6,val,background,150,0.1951904296875,0.02,0.0141754150390625,0.01469787597656245,0.016898345947265626,0.020618438720703125,0.0240936279296875,0.03359222412109375,0.08930969238281242,0.19799194335937495,0.24658203125,0.03565989176432292,0.035077427134915115
4,polar6,val,target,60,0.1951904296875,1.0,0.489501953125,0.49051025390625,0.7026611328125,0.840087890625,0.88232421875,0.925537109375,0.952294921875,0.9600732421875,0.9609375,0.8588338216145833,0.09894019939512505
4,polar6,test,background,150,0.1951904296875,0.9733333333333334,0.0753173828125,0.111241455078125,0.2483154296875,0.43499755859375,0.621826171875,0.7686767578125,0.866845703125,0.899443359375,0.90185546875,0.59547119140625,0.1993622529779125
4,polar6,test,target,52,0.1951904296875,1.0,0.254638671875,0.323369140625,0.52421875,0.7071533203125,0.79541015625,0.8778076171875,0.9284423828125,0.937939453125,0.9404296875,0.7716721754807693,0.14244177272975983
