global_epoch,stage,stage_epoch,learning_rate,train_total_loss,train_classification_loss,train_regression_loss,val_total_loss,val_classification_loss,val_regression_loss,val_threshold,val_joint_pd,val_pfa,val_seconds_per_map,stage_best
19,classification,19,0.0001,0.06161978533566801,0.06161978533566801,0.044793384335433055,0.1757232115186494,0.1757232115186494,0.010186895966676655,0.14223189651966095,0.05660377358490566,0.013333333333333334,0.00011735831527109749,False
20,classification,20,0.0001,0.060799448838773765,0.060799448838773765,0.04349837538527671,0.1831889516614341,0.1831889516614341,0.0101824558610693,0.12896329164505005,0.03773584905660377,0.013333333333333334,9.195572413755413e-05,False
21,regression,1,0.001,0.032924597836890314,0.06183608267908148,0.032924597836890314,0.012635210795061929,0.17513282986110068,0.012635210795061929,0.14463143050670624,0.1509433962264151,0.013333333333333334,9.790236453224048e-05,True
22,regression,2,0.001,0.02797748377380988,0.06224986374619194,0.02797748377380988,0.0131853046675621,0.17513282986110068,0.0131853046675621,0.14463143050670624,0.1509433962264151,0.013333333333333334,0.0001144724482750677,False
23,regression,3,0.001,0.02558501866066231,0.06250514805999728,0.02558501866066231,0.01214782622060165,0.17513282986110068,0.01214782622060165,0.14463143050670624,0.18867924528301888,0.013333333333333334,9.312393103475295e-05,True
24,regression,4,0.001,0.02754381546032718,0.060807188887480455,0.02754381546032718,0.013464827108852969,0.17513282986110068,0.013464827108852969,0.14463143050670624,0.18867924528301888,0.013333333333333334,0.00011469166009885443,False
25,regression,5,0.001,0.026804672709774137,0.06256842678488105,0.026804672709774137,0.01470647095312626,0.17513282986110068,0.01470647095312626,0.14463143050670624,0.18867924528301888,0.013333333333333334,0.00010128924630468193,False
26,regression,6,0.001,0.027414299607919555,0.061913379380163155,0.027414299607919555,0.01020462833014615,0.17513282986110068,0.01020462833014615,0.14463143050670624,0.1509433962264151,0.013333333333333334,0.00011221884236456973,True
27,regression,7,0.001,0.026979928228733033,0.06153141045465945,0.026979928228733033,0.013430001480238778,0.17513282986110068,0.013430001480238778,0.14463143050670624,0.20754716981132076,0.013333333333333334,0.00010212053201919692,False
28,regression,8,0.001,0.02783362846570516,0.061835295066357945,0.02783362846570516,0.011365383129401748,0.17513282986110068,0.011365383129401748,0.14463143050670624,0.18867924528301888,0.013333333333333334,0.00011522003448249612,False
29,regression,9,0.001,0.026485909158087805,0.06218884204516835,0.026485909158087805,0.012723473272300119,0.17513282986110068,0.012723473272300119,0.14463143050670624,0.1509433962264151,0.013333333333333334,9.867259605895696e-05,False
