fold,mode,model_source,context_role,causality,training_context_match,threshold,samples,background_samples,target_samples,false_alarms,pfa,score_detections,score_pd,correct_detections,joint_pd,joint_precision,joint_f1,roc_auc,background_shift_mean,target_shift_mean
02,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.393798828125,203,150,53,0,0.0,53,1.0,49,0.9245283018867925,1.0,0.9607843137254902,1.0,0.15534861415624618,0.00019707413140974305
02,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.393798828125,203,150,53,0,0.0,53,1.0,49,0.9245283018867925,1.0,0.9607843137254902,1.0,0.15510722835858662,0.0001537550127771815
02,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.393798828125,203,150,53,0,0.0,52,0.9811320754716981,48,0.9056603773584906,1.0,0.9504950495049505,1.0,0.13390203177928925,0.39514653461302723
02,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.393798828125,203,150,53,0,0.0,52,0.9811320754716981,48,0.9056603773584906,1.0,0.9504950495049505,1.0,0.13922033394376437,0.39514653461302723
02,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.393798828125,203,150,53,0,0.0,52,0.9811320754716981,48,0.9056603773584906,1.0,0.9504950495049505,1.0,0.14540855209032694,0.39514653461302723
02,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.393798828125,203,150,53,0,0.0,52,0.9811320754716981,48,0.9056603773584906,1.0,0.9504950495049505,1.0,0.14683599645892778,0.39514653461302723
03,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.0,0.0
03,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.22621470612028372,0.017330630781753564
03,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.23853490274885428,0.0026277264485263284
03,full_leave_one_out,frozen complete-scan BC-DPG v3,post-hoc self-inclusion sensitivity,non-causal; excludes self but uses future samples,False,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.23843802265498948,0.0019677384556976343
03,full_past_only_w04,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.19338909776314445,0.14151252503464862
03,full_past_only_w16,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.20907355844974518,0.14151252503464862
03,full_past_only_w64,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.22006938496361608,0.14151252503464862
03,full_past_only_all,frozen complete-scan BC-DPG v3,post-hoc assumed-order sensitivity,past-only under inferred beam/azimuth order,False,0.8466796875,167,115,52,0,0.0,45,0.8653846153846154,45,0.8653846153846154,1.0,0.9278350515463918,1.0,0.22156602481137153,0.14151252503464862
04,raw_dpg,frozen DPG output,sample-level baseline,sample-independent,True,0.254150390625,202,150,52,100,0.6666666666666666,52,1.0,47,0.9038461538461539,0.3197278911564626,0.4723618090452261,0.9661538461538461,0.0,0.0
04,sample_independent_bc,separately trained no-scan-context BC,online-oriented reference,sample-independent,True,0.254150390625,202,150,52,68,0.4533333333333333,52,1.0,47,0.9038461538461539,0.40869565217391307,0.5628742514970061,0.9683333333333333,0.5021986734618743,0.08813130527134766
04,full_complete_scan,frozen complete-scan BC-DPG v3,matched frozen offline result,non-causal complete scan,True,0.254150390625,202,150,52,14,0.09333333333333334,52,1.0,47,0.9038461538461539,0.7704918032786885,0.8318584070796459,0.9965384615384616,0.8055682194729646,6.0788171070341305e-05
