task_id,category_code,category,feature,mean,std,median
narrow_x_category,1,UAV,spectrum_entropy_normalized,0.25097129136384316,0.11303102771489067,0.20824763114369324
narrow_x_category,1,UAV,spectrum_dominant_frequency_cycles_per_sample,-0.0040530270285846015,0.038398138037830785,-0.025390625
narrow_x_category,1,UAV,spectrum_dominant_abs_frequency_cycles_per_sample,0.03573345291609036,0.014607634509775388,0.037109375
narrow_x_category,1,UAV,spectrum_peak_power_fraction,0.5212326074622172,0.1076840444706153,0.5391253826029593
narrow_x_category,1,UAV,spectrum_zero_band_power_fraction,0.047276014268442954,0.17102141960024814,0.003463619188470255
narrow_x_category,1,UAV,spectrum_positive_negative_log10_ratio,-0.33923192930829627,1.9832661541480154,-1.2070740776859712
narrow_x_category,1,UAV,spectrum_flatness,0.009048344862591337,0.021086298062989898,0.0018966149832362455
narrow_x_category,1,UAV,spectrum_kurtosis,455.0782678787589,1116.3026189336683,171.63403342750792
narrow_x_category,2,bird,envelope_mean_rms_normalized,0.9320636299101176,0.043653706683797776,0.9336747327380773
narrow_x_category,2,bird,envelope_std_rms_normalized,0.338544232123529,0.12147777279213974,0.3581221767029804
narrow_x_category,2,bird,envelope_coefficient_of_variation,0.3701150602698697,0.1492878657927951,0.3835620309149396
narrow_x_category,2,bird,envelope_skewness,0.1278809450763364,0.4695530347422793,0.1209416053991985
narrow_x_category,2,bird,envelope_kurtosis,2.571945576291608,0.7445163838049308,2.5052326853966767
narrow_x_category,2,bird,envelope_crest_factor,1.7943424079256276,0.4148894921961246,1.7182968085015322
narrow_x_category,2,bird,phase_increment_mean_cycles_per_sample,-0.024927700065873994,0.05001525337762065,-0.03448589380994122
narrow_x_category,2,bird,phase_increment_resultant_length,0.8972309533177621,0.21572393940764872,0.9852826801824609
narrow_x_category,2,bird,autocorrelation_magnitude_lag1,0.9125930267721536,0.207442486867491,0.9879781241239199
narrow_x_category,2,bird,autocorrelation_magnitude_lag2,0.9053101865860282,0.20995663952908222,0.9840880187682363
narrow_x_category,2,bird,autocorrelation_magnitude_lag4,0.8823833388268714,0.2170277519526029,0.974953716208564
narrow_x_category,2,bird,autocorrelation_magnitude_lag8,0.8395046988355351,0.25043831633914665,0.9603336216345549
narrow_x_category,2,bird,autocorrelation_magnitude_lag16,0.8473252734458495,0.24314308221203704,0.957718682313044
narrow_x_category,2,bird,autocorrelation_magnitude_lag32,0.8042747504999317,0.25285222990135914,0.9109658026260057
narrow_x_category,2,bird,periodicity_candidate_autocorrelation,0.9136887018258474,0.17899404982134148,0.9800723883986728
narrow_x_category,2,bird,periodicity_candidate_lag_fraction,0.006058135384215992,0.010552533250861942,0.00390625
narrow_x_category,2,bird,spectrum_centroid_cycles_per_sample,-0.023581765573584233,0.03390254253086495,-0.029753119058608564
narrow_x_category,2,bird,spectrum_abs_centroid_cycles_per_sample,0.057191151096187345,0.04778358964254047,0.04962472162043813
narrow_x_category,2,bird,spectrum_spread_cycles_per_sample,0.0559710960235892,0.06655488132938059,0.03131965524863076
narrow_x_category,2,bird,spectrum_entropy_normalized,0.3038817262202685,0.18338518604754295,0.23973755391826762
narrow_x_category,2,bird,spectrum_dominant_frequency_cycles_per_sample,-0.02698273624091381,0.05126013209440919,-0.037109375
narrow_x_category,2,bird,spectrum_dominant_abs_frequency_cycles_per_sample,0.042043905763239874,0.03983589458578847,0.04296875
narrow_x_category,2,bird,spectrum_peak_power_fraction,0.43762894192925933,0.15756170355277033,0.4712159978001198
narrow_x_category,2,bird,spectrum_zero_band_power_fraction,0.08835528898769417,0.19319684289485603,0.00659048268996564
narrow_x_category,2,bird,spectrum_positive_negative_log10_ratio,-0.8174455759899052,1.7712372345176477,-1.3003032087752007
narrow_x_category,2,bird,spectrum_flatness,0.05102849995553307,0.1136309449855846,0.007207603601388954
narrow_x_category,2,bird,spectrum_kurtosis,967.0125642267539,2296.691268359653,134.83384814532386
narrow_x_category,3,weather,envelope_mean_rms_normalized,0.9589028967277541,0.045290272647472665,0.976089520130961
narrow_x_category,3,weather,envelope_std_rms_normalized,0.2315144166415973,0.1576702918413754,0.2173689230099599
narrow_x_category,3,weather,envelope_coefficient_of_variation,0.24981811244231744,0.18232626211181774,0.2226936346789132
narrow_x_category,3,weather,envelope_skewness,-0.2301240791765529,1.2693576470347938,-0.11482616100674582
narrow_x_category,3,weather,envelope_kurtosis,4.263761680226662,17.857745230007687,2.470152096146969
narrow_x_category,3,weather,envelope_crest_factor,1.463621732170448,0.514726476551956,1.3729462854742256
narrow_x_category,3,weather,phase_increment_mean_cycles_per_sample,-0.005371407170326006,0.04974880561608131,-7.788045571457935e-05
narrow_x_category,3,weather,phase_increment_resultant_length,0.9615493044772481,0.16132363283080833,0.9990912160001567
narrow_x_category,3,weather,autocorrelation_magnitude_lag1,0.9615438265516061,0.16084229279225812,0.9984690780600691
narrow_x_category,3,weather,autocorrelation_magnitude_lag2,0.9581147749541733,0.16540573136678166,0.9981497594159093
narrow_x_category,3,weather,autocorrelation_magnitude_lag4,0.957774532854826,0.15794397306175137,0.9975315032961419
narrow_x_category,3,weather,autocorrelation_magnitude_lag8,0.9440699411983421,0.17061030370949865,0.9957761201091233
narrow_x_category,3,weather,autocorrelation_magnitude_lag16,0.930472562902115,0.18283549916264155,0.9922332537413985
narrow_x_category,3,weather,autocorrelation_magnitude_lag32,0.9243055009768685,0.18134045426575063,0.9848542861783901
narrow_x_category,3,weather,periodicity_candidate_autocorrelation,0.9599808910609076,0.14730173537326482,0.9938036717267356
narrow_x_category,3,weather,periodicity_candidate_lag_fraction,0.006137843117499552,0.011431955555565337,0.00390625
narrow_x_category,3,weather,spectrum_centroid_cycles_per_sample,-0.0033373214023057086,0.025425122728236736,-0.0006893310218105879
narrow_x_category,3,weather,spectrum_abs_centroid_cycles_per_sample,0.03214026924997107,0.03935540889775636,0.02547452475008433
narrow_x_category,3,weather,spectrum_spread_cycles_per_sample,0.026889775204212638,0.05047190066805186,0.011388610329708186
narrow_x_category,3,weather,spectrum_entropy_normalized,0.20544756765468103,0.13593549706443825,0.1644345521203087
narrow_x_category,3,weather,spectrum_dominant_frequency_cycles_per_sample,-0.0031932876589647143,0.0505924259517123,0.0
narrow_x_category,3,weather,spectrum_dominant_abs_frequency_cycles_per_sample,0.028326784434891634,0.04203857765371825,0.0234375
narrow_x_category,3,weather,spectrum_peak_power_fraction,0.5307985384450963,0.1266458235132014,0.5534923144748102
narrow_x_category,3,weather,spectrum_zero_band_power_fraction,0.10043523254131412,0.261728436575397,0.0005644858878080467
narrow_x_category,3,weather,spectrum_positive_negative_log10_ratio,0.15242419157836504,2.8310062637657807,-0.015629463267366084
narrow_x_category,3,weather,spectrum_flatness,0.02124172556366704,0.09199173542213894,0.000846388765448395
narrow_x_category,3,weather,spectrum_kurtosis,2751.210110474187,4293.565993819426,1075.4370205338055
hrrp_x_category,1,UAV,energy_centroid_bin_fraction,0.5063628717655105,0.03778780012728935,0.501051681868967
hrrp_x_category,1,UAV,energy_spread_bin_fraction,0.1122045976324272,0.06900833781542964,0.10659366269959182
hrrp_x_category,1,UAV,energy_entropy_normalized,0.49434007996735946,0.18152516877082422,0.4642374765028964
hrrp_x_category,1,UAV,peak_bin_fraction,0.5038255106953808,0.03914735695076917,0.501002004008016
hrrp_x_category,1,UAV,peak_power_fraction,0.26025182499089167,0.10723935959661979,0.2830981194021761
hrrp_x_category,1,UAV,crest_factor,11.06621947690139,2.7695008469434894,11.89743920770718
hrrp_x_category,1,UAV,amplitude_mean_rms_normalized,0.49565794937027924,0.20284850762718143,0.48252303843861843
hrrp_x_category,1,UAV,amplitude_std_rms_normalized,0.8322593660027369,0.1434007103457412,0.8758832783972782
hrrp_x_category,1,UAV,amplitude_skewness,10.01857625343985,2.6186827237180936,11.013691638770199
hrrp_x_category,1,UAV,amplitude_kurtosis,117.88890709968075,44.58147579784624,133.9046329733015
hrrp_x_category,1,UAV,energy_q10_bin_fraction,0.41079465806169396,0.12531131989355032,0.49498997995991983
hrrp_x_category,1,UAV,energy_q50_bin_fraction,0.5037786416205905,0.03893583323776569,0.501002004008016
hrrp_x_category,1,UAV,energy_q90_bin_fraction,0.6064105532113128,0.13453586402078796,0.5130260521042084
hrrp_x_category,1,UAV,energy_q90_q10_width_fraction,0.19561589514961883,0.24145546134691548,0.026052104208416804
hrrp_x_category,1,UAV,roughness_mean_abs_difference,0.08286480213015349,0.020832433560781814,0.08237023519908915
hrrp_x_category,1,UAV,autocorrelation_magnitude_lag1,0.918828365709067,0.04176464793654312,0.9221156743757383
hrrp_x_category,1,UAV,autocorrelation_magnitude_lag4,0.5120154423003301,0.20088544678853423,0.4687613680191938
hrrp_x_category,1,UAV,autocorrelation_magnitude_lag16,0.32859248048100825,0.2159009783388248,0.27776120237074653
hrrp_x_category,2,bird,energy_centroid_bin_fraction,0.49993933505078403,0.017427178711310092,0.5006353821855316
hrrp_x_category,2,bird,energy_spread_bin_fraction,0.14225683728587957,0.0798600163327219,0.13362397380446422
hrrp_x_category,2,bird,energy_entropy_normalized,0.5685192286118983,0.23432370358907997,0.5299026279871674
hrrp_x_category,2,bird,peak_bin_fraction,0.4991876113337786,0.03783777721625928,0.501002004008016
hrrp_x_category,2,bird,peak_power_fraction,0.2126107408609763,0.1351324652090885,0.189698714440786
hrrp_x_category,2,bird,crest_factor,9.710602866872899,3.4669866479459635,9.739061140413403
hrrp_x_category,2,bird,amplitude_mean_rms_normalized,0.5737761706597879,0.241396636065409,0.5584428262182293
hrrp_x_category,2,bird,amplitude_std_rms_normalized,0.7463421755752842,0.2357557164681145,0.8295430044663723
hrrp_x_category,2,bird,amplitude_skewness,9.50211072328451,2.684308104992356,9.089045698447554
hrrp_x_category,2,bird,amplitude_kurtosis,108.53574592872508,53.54651768797299,90.1295291421145
hrrp_x_category,2,bird,energy_q10_bin_fraction,0.3578302438209753,0.1566411275028253,0.46893787575150303
hrrp_x_category,2,bird,energy_q50_bin_fraction,0.5004261996214651,0.022705356349935167,0.501002004008016
hrrp_x_category,2,bird,energy_q90_bin_fraction,0.6425054971053217,0.15333003379689022,0.5420841683366733
hrrp_x_category,2,bird,energy_q90_q10_width_fraction,0.28467525328434645,0.30792062813989163,0.07615230460921846
hrrp_x_category,2,bird,roughness_mean_abs_difference,0.11519543070971701,0.03973038829854451,0.1099268507443008
hrrp_x_category,2,bird,autocorrelation_magnitude_lag1,0.9259588809744819,0.05693717010323953,0.9497002408610979
hrrp_x_category,2,bird,autocorrelation_magnitude_lag4,0.5863544717356474,0.23724743250630206,0.6012265978716937
hrrp_x_category,2,bird,autocorrelation_magnitude_lag16,0.3857441813994701,0.2941295370879183,0.3049677641207088
hrrp_x_category,3,weather,energy_centroid_bin_fraction,0.501017261977374,0.04362739655862129,0.5007905674845764
hrrp_x_category,3,weather,energy_spread_bin_fraction,0.14235209678651728,0.11683370968407175,0.13971856556509804
hrrp_x_category,3,weather,energy_entropy_normalized,0.5875600825047267,0.3095400131698861,0.529424027788317
hrrp_x_category,3,weather,peak_bin_fraction,0.5009207354801769,0.12235472904856526,0.501002004008016
hrrp_x_category,3,weather,peak_power_fraction,0.21863642030066732,0.16457287085154623,0.25729181453526934
hrrp_x_category,3,weather,crest_factor,9.13868025174886,5.081981568859658,11.342217916599674
hrrp_x_category,3,weather,amplitude_mean_rms_normalized,0.5631180850969733,0.3361318644125546,0.5561569880287669
hrrp_x_category,3,weather,amplitude_std_rms_normalized,0.6722710092051841,0.34377046904255787,0.8310772555345091
hrrp_x_category,3,weather,amplitude_skewness,7.9460718012857985,4.2617107300758255,10.154426231864242
hrrp_x_category,3,weather,amplitude_kurtosis,92.53110246256409,58.11631016389788,118.54687436131651
hrrp_x_category,3,weather,energy_q10_bin_fraction,0.3242651201019551,0.18474775788952466,0.3927855711422846
hrrp_x_category,3,weather,energy_q50_bin_fraction,0.5023410877053646,0.05138739960704914,0.501002004008016
hrrp_x_category,3,weather,energy_q90_bin_fraction,0.675945439265628,0.17983263745824052,0.6132264529058116
hrrp_x_category,3,weather,energy_q90_q10_width_fraction,0.3516803191636729,0.3544714557931255,0.24849699398797598
hrrp_x_category,3,weather,roughness_mean_abs_difference,0.10865478494892307,0.05507588429269419,0.08595989995304487
hrrp_x_category,3,weather,autocorrelation_magnitude_lag1,0.9195278210274882,0.05058651518563295,0.9058801846105317
hrrp_x_category,3,weather,autocorrelation_magnitude_lag4,0.5779349320259516,0.2925730847327107,0.4568532823319556
hrrp_x_category,3,weather,autocorrelation_magnitude_lag16,0.45534258266046845,0.3758782729038341,0.3176604110820971
