task_id,model_id,heldout_fold,batch_code,category_code,category,record_count,accuracy,evaluation_unit
narrow_x_category,dummy_prior,2,195,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,204,all,all,17,0.0,batch
narrow_x_category,dummy_prior,2,206,all,all,16,0.0,batch
narrow_x_category,dummy_prior,2,208,all,all,18,0.0,batch
narrow_x_category,dummy_prior,2,210,all,all,11,0.0,batch
narrow_x_category,dummy_prior,2,238,all,all,20,0.0,batch
narrow_x_category,dummy_prior,2,242,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,244,all,all,20,0.0,batch
narrow_x_category,dummy_prior,2,246,all,all,34,0.0,batch
narrow_x_category,dummy_prior,2,249,all,all,18,0.2222222222222222,batch
narrow_x_category,dummy_prior,2,250,all,all,24,0.0,batch
narrow_x_category,dummy_prior,2,266,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,269,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,275,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,308,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,310,all,all,6,0.0,batch
narrow_x_category,dummy_prior,2,311,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,317,all,all,8,0.0,batch
narrow_x_category,dummy_prior,2,321,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,330,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,332,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,335,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,340,all,all,4,0.0,batch
narrow_x_category,dummy_prior,2,343,all,all,8,0.0,batch
narrow_x_category,dummy_prior,2,344,all,all,8,0.0,batch
narrow_x_category,dummy_prior,2,388,all,all,2,0.0,batch
narrow_x_category,dummy_prior,2,393,all,all,2,0.0,batch
narrow_x_category,dummy_prior,2,399,all,all,1,0.0,batch
narrow_x_category,dummy_prior,2,400,all,all,3,0.0,batch
narrow_x_category,dummy_prior,2,432,all,all,153,0.0,batch
narrow_x_category,dummy_prior,3,5,all,all,91,0.0,batch
narrow_x_category,dummy_prior,3,10,all,all,26,0.0,batch
narrow_x_category,dummy_prior,3,17,all,all,216,0.0,batch
narrow_x_category,dummy_prior,3,22,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,23,all,all,21,0.0,batch
narrow_x_category,dummy_prior,3,28,all,all,46,0.0,batch
narrow_x_category,dummy_prior,3,39,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,44,all,all,94,0.0,batch
narrow_x_category,dummy_prior,3,57,all,all,32,0.0,batch
narrow_x_category,dummy_prior,3,59,all,all,31,0.0,batch
narrow_x_category,dummy_prior,3,69,all,all,28,0.0,batch
narrow_x_category,dummy_prior,3,88,all,all,26,0.0,batch
narrow_x_category,dummy_prior,3,90,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,91,all,all,28,0.0,batch
narrow_x_category,dummy_prior,3,92,all,all,28,0.0,batch
narrow_x_category,dummy_prior,3,94,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,96,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,104,all,all,26,0.0,batch
narrow_x_category,dummy_prior,3,111,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,115,all,all,22,0.0,batch
narrow_x_category,dummy_prior,3,121,all,all,41,0.5121951219512195,batch
narrow_x_category,dummy_prior,3,127,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,142,all,all,15,0.0,batch
narrow_x_category,dummy_prior,3,152,all,all,15,0.0,batch
narrow_x_category,dummy_prior,3,159,all,all,26,0.0,batch
narrow_x_category,dummy_prior,3,164,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,167,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,170,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,176,all,all,28,0.0,batch
narrow_x_category,dummy_prior,3,178,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,181,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,187,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,188,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,189,all,all,20,0.0,batch
narrow_x_category,dummy_prior,3,191,all,all,28,0.0,batch
narrow_x_category,dummy_prior,3,198,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,199,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,200,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,212,all,all,20,0.0,batch
narrow_x_category,dummy_prior,3,217,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,218,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,219,all,all,20,0.0,batch
narrow_x_category,dummy_prior,3,220,all,all,20,0.0,batch
narrow_x_category,dummy_prior,3,224,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,232,all,all,24,0.0,batch
narrow_x_category,dummy_prior,3,234,all,all,14,0.0,batch
narrow_x_category,dummy_prior,3,237,all,all,8,0.0,batch
narrow_x_category,dummy_prior,3,243,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,245,all,all,12,0.0,batch
narrow_x_category,dummy_prior,3,257,all,all,8,0.0,batch
narrow_x_category,dummy_prior,3,263,all,all,6,0.0,batch
