epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
13,0.001,0.19450148783232035,4.394736842105263,5.521929824561403,0.13596491228070176,0.7850877192982456,0.7850877192982456,0.19660768310228985,5.666666666666667,6.733333333333333,0.28888888888888886,0.7333333333333333,0.7333333333333333,False
14,0.001,0.19122748573621115,4.517543859649122,5.609649122807017,0.12719298245614036,0.7982456140350878,0.7982456140350878,0.1901623027192222,4.733333333333333,5.777777777777778,0.28888888888888886,0.7777777777777778,0.7777777777777778,True
15,0.001,0.1860799279652144,4.057017543859649,5.083333333333333,0.12719298245614036,0.8157894736842105,0.8157894736842105,0.18361474739180672,4.466666666666667,5.088888888888889,0.35555555555555557,0.8,0.8,True
16,0.001,0.17884490730469688,4.5964912280701755,5.416666666666667,0.12719298245614036,0.8070175438596491,0.8070175438596491,0.17874503533045452,5.044444444444444,5.488888888888889,0.3111111111111111,0.8,0.8,False
17,0.001,0.16787286128914147,4.728070175438597,5.741228070175438,0.14473684210526316,0.8114035087719298,0.8114035087719298,0.17635944849914975,6.222222222222222,8.11111111111111,0.28888888888888886,0.7333333333333333,0.7333333333333333,False
18,0.001,0.16021021939160532,4.605263157894737,5.3201754385964914,0.11842105263157894,0.8114035087719298,0.8114035087719298,0.16252494355042776,4.4222222222222225,6.355555555555555,0.28888888888888886,0.7333333333333333,0.7333333333333333,False
19,0.001,0.1415250097450457,4.2105263157894735,4.37719298245614,0.14473684210526316,0.8464912280701754,0.8464912280701754,0.14738545815149942,10.71111111111111,7.822222222222222,0.3333333333333333,0.7555555555555555,0.7555555555555555,False
20,0.001,0.13175697650825768,4.543859649122807,5.184210526315789,0.15350877192982457,0.8421052631578947,0.8421052631578947,0.1548589136865404,5.111111111111111,7.2,0.3333333333333333,0.7111111111111111,0.7111111111111111,False
21,0.001,0.13203314744066774,4.956140350877193,5.649122807017544,0.19298245614035087,0.8333333333333334,0.8333333333333334,0.14054762423038483,5.177777777777778,5.2444444444444445,0.2222222222222222,0.8,0.8,False
22,0.001,0.14662043907140432,4.741228070175438,5.894736842105263,0.17982456140350878,0.7982456140350878,0.7982456140350878,0.14648952782154084,4.666666666666667,7.377777777777778,0.4,0.7111111111111111,0.7111111111111111,False
23,0.001,0.1319473600178434,4.2894736842105265,5.057017543859649,0.20175438596491227,0.8201754385964912,0.8201754385964912,0.15600569446881613,5.355555555555555,7.133333333333334,0.37777777777777777,0.7333333333333333,0.7333333333333333,False
24,0.001,0.12253115456878093,4.162280701754386,4.3201754385964914,0.17543859649122806,0.8596491228070176,0.8596491228070176,0.15276432997650571,7.688888888888889,8.511111111111111,0.35555555555555557,0.7555555555555555,0.7555555555555555,False
25,0.001,0.1237607356487659,4.552631578947368,4.517543859649122,0.15789473684210525,0.8421052631578947,0.8421052631578947,0.141092398431566,5.466666666666667,6.666666666666667,0.28888888888888886,0.7333333333333333,0.7333333333333333,False
26,0.001,0.12472980495607644,4.3464912280701755,4.412280701754386,0.18421052631578946,0.8552631578947368,0.8552631578947368,0.1530330416229036,5.2,6.4,0.3111111111111111,0.7555555555555555,0.7555555555555555,False
27,0.001,0.1199686059303451,4.324561403508772,4.745614035087719,0.17543859649122806,0.8552631578947368,0.8552631578947368,0.12636775208844078,6.088888888888889,7.466666666666667,0.28888888888888886,0.7555555555555555,0.7555555555555555,False
28,0.001,0.11580631973450645,4.021929824561403,3.942982456140351,0.16666666666666666,0.881578947368421,0.881578947368421,0.1318913138575024,6.511111111111111,8.444444444444445,0.3111111111111111,0.7111111111111111,0.7111111111111111,False
29,0.001,0.11979298607299202,4.004385964912281,3.4342105263157894,0.15789473684210525,0.8728070175438597,0.8728070175438597,0.1434721181790034,6.844444444444444,8.6,0.3111111111111111,0.6888888888888889,0.6888888888888889,False
