fold,scan_group,sample_count,background_count,target_count,raw_false_alarm_count,v3_false_alarm_count,false_alarm_count_reduction,raw_pfa,v3_pfa,pfa_reduction_fraction,raw_detected_target_count,v3_detected_target_count,raw_pd,v3_pd,raw_background_score_mean,v3_background_score_mean,raw_background_score_max,v3_background_score_max,background_shift_mean,target_shift_mean,background_p_background_mean,target_p_background_mean,background_suppression_mean,target_suppression_mean
5,20260204_100908,150,150,0,0,0,0,0.0,0.0,,0,0,,,0.09023880667984481,0.08026528418064113,0.2393493205308914,0.1835153698921203,0.1247394233445326,,0.6570916243394216,,0.18983834634224575,
6,20260202_145713,4,0,4,0,0,0,,,,0,0,0.0,0.0,,,,,,0.15628032200038428,,0.3247466809116304,,0.5513618439435959
6,20260202_145722,4,0,4,0,0,0,,,,2,2,0.5,0.5,,,,,,0.00018240404460805,,0.0031453043338841996,,0.05853596888482565
6,20260202_145730,5,0,5,0,0,0,,,,4,4,0.8,0.8,,,,,,0.00025917436578306,,0.003701137099415,,0.07629166021943089
6,20260202_145738,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.0001122386049245945,,0.0030347201507538004,,0.03698819354176518
6,20260202_145746,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00010700717539287999,,0.0030351819936185404,,0.035257369279861395
6,20260202_145755,5,0,5,0,0,0,,,,4,4,0.8,0.8,,,,,,0.00010954600584222002,,0.0030365228652953604,,0.036072626709938
6,20260202_145813,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00010975590848825031,,0.0030372000299393603,,0.03614346683025354
6,20260202_145819,5,0,5,0,0,0,,,,5,5,1.0,1.0,,,,,,0.00011127043835582,,0.00303226686082772,,0.036695669591426824
6,20260202_145828,5,0,5,0,0,0,,,,4,4,0.8,0.8,,,,,,0.00010616696963545999,,0.00303501063026482,,0.03498152941465374
6,20260202_145836,5,0,5,0,0,0,,,,4,4,0.8,0.8,,,,,,0.0001562104138429,,0.0030863676220178006,,0.05051064193248744
6,20260204_100932,115,115,0,0,0,0,0.0,0.0,,0,0,,,0.08866707118956936,0.07027515007749845,0.3418021500110626,0.2407295405864715,0.23728657546250717,,0.7921314130658689,,0.2995652924413266,
