epoch,learning_rate,train_loss,train_mean_range_error,train_mean_velocity_error,train_strict_hit_rate,train_relaxed_hit_rate,train_application_hit_rate,val_loss,val_mean_range_error,val_mean_velocity_error,val_strict_hit_rate,val_relaxed_hit_rate,val_application_hit_rate,is_best
15,0.001,0.18897305794975214,5.587719298245614,8.241228070175438,0.19298245614035087,0.6403508771929824,0.6403508771929824,0.18745692272981007,8.177777777777777,12.866666666666667,0.26666666666666666,0.5111111111111111,0.5111111111111111,False
16,0.001,0.1824534629520617,4.692982456140351,6.214912280701754,0.19298245614035087,0.7324561403508771,0.7324561403508771,0.1789371010329988,6.377777777777778,10.11111111111111,0.24444444444444444,0.6666666666666666,0.6666666666666666,True
17,0.001,0.1749617046954339,4.9868421052631575,5.302631578947368,0.14912280701754385,0.7675438596491229,0.7675438596491229,0.1789014733499951,4.644444444444445,5.933333333333334,0.13333333333333333,0.8,0.8,True
18,0.001,0.16424312377185152,4.798245614035087,5.609649122807017,0.08771929824561403,0.7894736842105263,0.7894736842105263,0.15852831171618567,5.866666666666666,8.8,0.24444444444444444,0.7111111111111111,0.7111111111111111,False
19,0.001,0.14984767531093798,4.635964912280702,5.245614035087719,0.10964912280701754,0.8070175438596491,0.8070175438596491,0.15440813567903305,4.022222222222222,5.666666666666667,0.26666666666666666,0.8222222222222222,0.8222222222222222,True
20,0.001,0.14229891122433178,4.298245614035087,4.657894736842105,0.08771929824561403,0.8201754385964912,0.8201754385964912,0.137425183918741,4.555555555555555,5.955555555555556,0.2,0.8222222222222222,0.8222222222222222,False
21,0.001,0.13263021527152313,5.43859649122807,5.364035087719298,0.09210526315789473,0.8157894736842105,0.8157894736842105,0.13377780583169724,5.333333333333333,7.488888888888889,0.3333333333333333,0.7555555555555555,0.7555555555555555,False
22,0.001,0.13263042793985,4.675438596491228,4.469298245614035,0.10087719298245613,0.8421052631578947,0.8421052631578947,0.12805637684133317,3.7333333333333334,5.0,0.26666666666666666,0.8444444444444444,0.8444444444444444,True
23,0.001,0.12646619073654475,3.986842105263158,4.0701754385964914,0.11403508771929824,0.8464912280701754,0.8464912280701754,0.14253655804528131,3.8222222222222224,4.466666666666667,0.26666666666666666,0.8444444444444444,0.8444444444444444,True
24,0.001,0.12556871758741245,4.2894736842105265,3.9473684210526314,0.12719298245614036,0.8596491228070176,0.8596491228070176,0.1430747542116377,5.688888888888889,7.155555555555556,0.2222222222222222,0.8,0.8,False
25,0.001,0.1239597214418545,4.0964912280701755,3.9035087719298245,0.10087719298245613,0.8640350877192983,0.8640350877192983,0.13673845993147957,4.5777777777777775,5.311111111111111,0.3111111111111111,0.8444444444444444,0.8444444444444444,True
26,0.001,0.12290080283817492,3.754385964912281,3.745614035087719,0.11842105263157894,0.8728070175438597,0.8728070175438597,0.12302037179470063,5.733333333333333,7.133333333333334,0.28888888888888886,0.8,0.8,False
27,0.001,0.1217584387775053,3.793859649122807,3.956140350877193,0.10526315789473684,0.8596491228070176,0.8596491228070176,0.1259185297621621,3.7777777777777777,4.466666666666667,0.3111111111111111,0.8444444444444444,0.8444444444444444,True
28,0.001,0.11643771605010618,3.8157894736842106,3.1096491228070176,0.14912280701754385,0.8991228070175439,0.8991228070175439,0.1256376279724969,3.8666666666666667,4.711111111111111,0.37777777777777777,0.8444444444444444,0.8444444444444444,True
29,0.001,0.11991615201297559,3.8991228070175437,2.973684210526316,0.15350877192982457,0.8991228070175439,0.8991228070175439,0.12241257925828299,3.7555555555555555,4.488888888888889,0.3111111111111111,0.8444444444444444,0.8444444444444444,False
