transfer_id,role,analysis_scope,source_bands,target_band,model_id,feature,importance,importance_type,fit_scope
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag16,1.5533071949353028,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,autocorrelation_magnitude_lag32,1.0419479035590697,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,periodicity_candidate_autocorrelation,2.9410714654276768,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,periodicity_candidate_lag_fraction,1.1908174359801664,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_centroid_cycles_per_sample,1.1905889538242169,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_abs_centroid_cycles_per_sample,1.8125417602027269,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_spread_cycles_per_sample,3.5523205249614116,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_entropy_normalized,0.94217287592261323,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_dominant_frequency_cycles_per_sample,0.7317539726115676,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_dominant_abs_frequency_cycles_per_sample,0.27803318995811488,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_peak_power_fraction,2.1867910168146718,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_zero_band_power_fraction,0.2024634555920313,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_positive_negative_log10_ratio,1.3341098869596484,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_flatness,2.5690467967431778,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,logistic_batch_balanced,spectrum_kurtosis,4.2549761654749911,mean_abs_standardized_multiclass_coefficient,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_mean_rms_normalized,0.016551763406655727,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_std_rms_normalized,0.0190045191967247,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_coefficient_of_variation,0.018512536178395111,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_skewness,0.03338452149169354,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_kurtosis,0.013124797104129522,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,envelope_crest_factor,0.028580213959438525,mean_decrease_impurity,source_bands_only
narrow_ku_to_s_shared_binary,secondary,band_qualified_primary,Ku,S,random_forest_batch_balanced,phase_increment_mean_cycles_per_sample,0.041268637769303729,mean_decrease_impurity,source_bands_only
